Team,Division,W,L,T,Color
Patriots,AFC East,14,2,0,#C80815
Dolphins,AFC East,10,6,0,#008D97
Bills,AFC East,7,9,0,#C60C30
Jets,AFC East,5,11,0,#0C371D
Steelers,AFC North,11,5,0,#000000
Ravens,AFC North,8,8,0,#280353
Bengals,AFC North,6,9,1,#FB4F14
Browns,AFC North,1,15,0,#FE3C00
Texans,AFC South,9,7,0,#B31B34
Titans,AFC South,9,7,0,#0D254C
Colts,AFC South,8,8,0,#003B7B
Jaguars,AFC South,3,13,0,#006778
Chiefs,AFC West,12,4,0,#B20032
Raiders,AFC West,12,4,0,#000000
Broncos,AFC West,9,7,0,#FB4F14
Chargers,AFC West,5,11,0,#0C2340
Cowboys,NFC East,13,3,0,#0D254C
Giants,NFC East,11,5,0,#192F6B
Redskins,NFC East,8,7,1,#773141
Eagles,NFC East,7,9,0,#203731
Packers,NFC North,10,6,0,#203731
Lions,NFC North,9,7,0,#006DB0
Vikings,NFC North,8,8,0,#3B0160
Bears,NFC North,3,13,0,#DD4814
Falcons,NFC South,11,5,0,#BD0D18
Buccaneers,NFC South,9,7,0,#D60A0B
Saints,NFC South,7,9,0,#000000
Panthers,NFC South,6,10,0,#0088CE
Seahawks,NFC West,10,5,1,#002244
Cardinals,NFC West,7,8,1,#9B2743
Rams,NFC West,4,12,0,#13264B
49ers,NFC West,2,14,0,#AF1E2C
